Country,IND,SEX,AGE,TIME,Unit,Value
Belgium,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.1
Belgium,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.5
Belgium,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,1.4
Belgium,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,1.2
Belgium,EMP6,MEN,55PLUS,1990,Percentage,0.1
Belgium,EMP6,MEN,55PLUS,1995,Percentage,0.5
Belgium,EMP6,MEN,55PLUS,2000,Percentage,0.5
Belgium,EMP6,MEN,55PLUS,2005,Percentage,0.9
Belgium,EMP6,MEN,55PLUS,2010,Percentage,0.8
Belgium,EMP6,MEN,55PLUS,2011,Percentage,0.7
Belgium,EMP6,MEN,55PLUS,2012,Percentage,0.6
Belgium,EMP6,WOMEN,55PLUS,1990,Percentage,3.4
Belgium,EMP6,WOMEN,55PLUS,1995,Percentage,2.2
Belgium,EMP6,WOMEN,55PLUS,2000,Percentage,4.5
Belgium,EMP6,WOMEN,55PLUS,2005,Percentage,4.3
Belgium,EMP6,WOMEN,55PLUS,2010,Percentage,2.6
Belgium,EMP6,WOMEN,55PLUS,2011,Percentage,2.6
Belgium,EMP6,WOMEN,55PLUS,2012,Percentage,2.0
Canada,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,2.4
Canada,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,4.5
Canada,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,3.6
Canada,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,3.8
Canada,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,4.5
Canada,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,4.2
Canada,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,4.3
Canada,EMP6,MEN,55PLUS,1990,Percentage,1.3
Canada,EMP6,MEN,55PLUS,1995,Percentage,2.6
Canada,EMP6,MEN,55PLUS,2000,Percentage,2.6
Canada,EMP6,MEN,55PLUS,2005,Percentage,2.4
Canada,EMP6,MEN,55PLUS,2010,Percentage,3.4
Canada,EMP6,MEN,55PLUS,2011,Percentage,3.0
Canada,EMP6,MEN,55PLUS,2012,Percentage,2.9
Canada,EMP6,WOMEN,55PLUS,1990,Percentage,4.4
Canada,EMP6,WOMEN,55PLUS,1995,Percentage,7.6
Canada,EMP6,WOMEN,55PLUS,2000,Percentage,5.2
Canada,EMP6,WOMEN,55PLUS,2005,Percentage,5.7
Canada,EMP6,WOMEN,55PLUS,2010,Percentage,5.9
Canada,EMP6,WOMEN,55PLUS,2011,Percentage,5.5
Canada,EMP6,WOMEN,55PLUS,2012,Percentage,6.0
Czech Republic,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,3.1
Czech Republic,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,0.7
Czech Republic,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.0
Czech Republic,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,1.0
Czech Republic,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,1.0
Czech Republic,EMP6,MEN,55PLUS,2000,Percentage,1.3
Czech Republic,EMP6,MEN,55PLUS,2005,Percentage,0.3
Czech Republic,EMP6,MEN,55PLUS,2010,Percentage,0.9
Czech Republic,EMP6,MEN,55PLUS,2011,Percentage,0.7
Czech Republic,EMP6,MEN,55PLUS,2012,Percentage,0.8
Czech Republic,EMP6,WOMEN,55PLUS,2000,Percentage,6.8
Czech Republic,EMP6,WOMEN,55PLUS,2005,Percentage,1.2
Czech Republic,EMP6,WOMEN,55PLUS,2010,Percentage,1.2
Czech Republic,EMP6,WOMEN,55PLUS,2011,Percentage,1.4
Czech Republic,EMP6,WOMEN,55PLUS,2012,Percentage,1.4
Denmark,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,2.6
Denmark,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,4.4
Denmark,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,3.5
Denmark,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,3.2
Denmark,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,3.5
Denmark,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,3.4
Denmark,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,3.6
Denmark,EMP6,MEN,55PLUS,1990,Percentage,1.1
Denmark,EMP6,MEN,55PLUS,1995,Percentage,2.1
Denmark,EMP6,MEN,55PLUS,2000,Percentage,1.4
Denmark,EMP6,MEN,55PLUS,2005,Percentage,1.5
Denmark,EMP6,MEN,55PLUS,2010,Percentage,2.0
Denmark,EMP6,MEN,55PLUS,2011,Percentage,1.7
Denmark,EMP6,MEN,55PLUS,2012,Percentage,1.5
Denmark,EMP6,WOMEN,55PLUS,1990,Percentage,4.9
Denmark,EMP6,WOMEN,55PLUS,1995,Percentage,8.5
Denmark,EMP6,WOMEN,55PLUS,2000,Percentage,6.8
Denmark,EMP6,WOMEN,55PLUS,2005,Percentage,5.3
Denmark,EMP6,WOMEN,55PLUS,2010,Percentage,5.5
Denmark,EMP6,WOMEN,55PLUS,2011,Percentage,5.5
Denmark,EMP6,WOMEN,55PLUS,2012,Percentage,6.3
Finland,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.4
Finland,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,1.9
Finland,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,2.0
Finland,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,2.0
Finland,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,2.1
Finland,EMP6,MEN,55PLUS,2000,Percentage,0.8
Finland,EMP6,MEN,55PLUS,2005,Percentage,1.0
Finland,EMP6,MEN,55PLUS,2010,Percentage,1.1
Finland,EMP6,MEN,55PLUS,2011,Percentage,1.3
Finland,EMP6,MEN,55PLUS,2012,Percentage,1.1
Finland,EMP6,WOMEN,55PLUS,2000,Percentage,4.2
Finland,EMP6,WOMEN,55PLUS,2005,Percentage,2.9
Finland,EMP6,WOMEN,55PLUS,2010,Percentage,3.0
Finland,EMP6,WOMEN,55PLUS,2011,Percentage,2.7
Finland,EMP6,WOMEN,55PLUS,2012,Percentage,3.0
France,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,2.9
France,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.1
France,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,5.2
France,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,5.4
France,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,4.9
France,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,5.0
France,EMP6,MEN,55PLUS,1995,Percentage,1.4
France,EMP6,MEN,55PLUS,2000,Percentage,1.4
France,EMP6,MEN,55PLUS,2005,Percentage,2.2
France,EMP6,MEN,55PLUS,2010,Percentage,2.1
France,EMP6,MEN,55PLUS,2011,Percentage,1.9
France,EMP6,MEN,55PLUS,2012,Percentage,1.9
France,EMP6,WOMEN,55PLUS,1995,Percentage,4.7
France,EMP6,WOMEN,55PLUS,2000,Percentage,3.0
France,EMP6,WOMEN,55PLUS,2005,Percentage,8.6
France,EMP6,WOMEN,55PLUS,2010,Percentage,9.0
France,EMP6,WOMEN,55PLUS,2011,Percentage,8.1
France,EMP6,WOMEN,55PLUS,2012,Percentage,8.3
Germany,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,0.6
Germany,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,1.6
Germany,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.3
Germany,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,4.1
Germany,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,5.9
Germany,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,4.5
Germany,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,4.4
Germany,EMP6,MEN,55PLUS,1990,Percentage,0.1
Germany,EMP6,MEN,55PLUS,1995,Percentage,0.6
Germany,EMP6,MEN,55PLUS,2000,Percentage,0.9
Germany,EMP6,MEN,55PLUS,2005,Percentage,1.8
Germany,EMP6,MEN,55PLUS,2010,Percentage,2.9
Germany,EMP6,MEN,55PLUS,2011,Percentage,1.9
Germany,EMP6,MEN,55PLUS,2012,Percentage,2.1
Germany,EMP6,WOMEN,55PLUS,1990,Percentage,1.4
Germany,EMP6,WOMEN,55PLUS,1995,Percentage,3.4
Germany,EMP6,WOMEN,55PLUS,2000,Percentage,4.5
Germany,EMP6,WOMEN,55PLUS,2005,Percentage,7.4
Germany,EMP6,WOMEN,55PLUS,2010,Percentage,9.7
Germany,EMP6,WOMEN,55PLUS,2011,Percentage,7.7
Germany,EMP6,WOMEN,55PLUS,2012,Percentage,7.4
Greece,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,0.7
Greece,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,1.1
Greece,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,1.0
Greece,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,1.2
Greece,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.5
Greece,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,2.3
Greece,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,3.2
Greece,EMP6,MEN,55PLUS,1990,Percentage,0.6
Greece,EMP6,MEN,55PLUS,1995,Percentage,0.8
Greece,EMP6,MEN,55PLUS,2000,Percentage,0.8
Greece,EMP6,MEN,55PLUS,2005,Percentage,0.8
Greece,EMP6,MEN,55PLUS,2010,Percentage,1.2
Greece,EMP6,MEN,55PLUS,2011,Percentage,2.0
Greece,EMP6,MEN,55PLUS,2012,Percentage,2.1
Greece,EMP6,WOMEN,55PLUS,1990,Percentage,1.0
Greece,EMP6,WOMEN,55PLUS,1995,Percentage,1.9
Greece,EMP6,WOMEN,55PLUS,2000,Percentage,1.5
Greece,EMP6,WOMEN,55PLUS,2005,Percentage,2.1
Greece,EMP6,WOMEN,55PLUS,2010,Percentage,2.1
Greece,EMP6,WOMEN,55PLUS,2011,Percentage,3.0
Greece,EMP6,WOMEN,55PLUS,2012,Percentage,5.1
Hungary,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,2.6
Hungary,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,1.0
Hungary,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,0.9
Hungary,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.3
Hungary,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,1.5
Hungary,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,2.2
Hungary,EMP6,MEN,55PLUS,1995,Percentage,1.5
Hungary,EMP6,MEN,55PLUS,2000,Percentage,0.8
Hungary,EMP6,MEN,55PLUS,2005,Percentage,0.5
Hungary,EMP6,MEN,55PLUS,2010,Percentage,0.9
Hungary,EMP6,MEN,55PLUS,2011,Percentage,1.2
Hungary,EMP6,MEN,55PLUS,2012,Percentage,1.4
Hungary,EMP6,WOMEN,55PLUS,1995,Percentage,4.7
Hungary,EMP6,WOMEN,55PLUS,2000,Percentage,1.5
Hungary,EMP6,WOMEN,55PLUS,2005,Percentage,1.4
Hungary,EMP6,WOMEN,55PLUS,2010,Percentage,1.6
Hungary,EMP6,WOMEN,55PLUS,2011,Percentage,1.9
Hungary,EMP6,WOMEN,55PLUS,2012,Percentage,3.1
Iceland,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.0
Iceland,EMP6,MEN,55PLUS,2000,Percentage,0.0
Iceland,EMP6,WOMEN,55PLUS,2000,Percentage,4.9
Ireland,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,1.5
Ireland,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,2.5
Ireland,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,3.3
Ireland,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,6.6
Ireland,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,7.7
Ireland,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,9.3
Ireland,EMP6,MEN,55PLUS,1990,Percentage,1.3
Ireland,EMP6,MEN,55PLUS,1995,Percentage,2.0
Ireland,EMP6,MEN,55PLUS,2000,Percentage,2.8
Ireland,EMP6,MEN,55PLUS,2010,Percentage,5.0
Ireland,EMP6,MEN,55PLUS,2011,Percentage,5.7
Ireland,EMP6,MEN,55PLUS,2012,Percentage,6.6
Ireland,EMP6,WOMEN,55PLUS,1990,Percentage,2.0
Ireland,EMP6,WOMEN,55PLUS,1995,Percentage,4.2
Ireland,EMP6,WOMEN,55PLUS,2000,Percentage,4.4
Ireland,EMP6,WOMEN,55PLUS,2010,Percentage,8.9
Ireland,EMP6,WOMEN,55PLUS,2011,Percentage,10.7
Ireland,EMP6,WOMEN,55PLUS,2012,Percentage,13.1
Italy,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,1.4
Italy,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,1.1
Italy,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,1.7
Italy,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.6
Italy,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,4.5
Italy,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,5.1
Italy,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,6.1
Italy,EMP6,MEN,55PLUS,1990,Percentage,1.0
Italy,EMP6,MEN,55PLUS,1995,Percentage,0.8
Italy,EMP6,MEN,55PLUS,2000,Percentage,1.4
Italy,EMP6,MEN,55PLUS,2005,Percentage,1.6
Italy,EMP6,MEN,55PLUS,2010,Percentage,2.5
Italy,EMP6,MEN,55PLUS,2011,Percentage,2.8
Italy,EMP6,MEN,55PLUS,2012,Percentage,3.6
Italy,EMP6,WOMEN,55PLUS,1990,Percentage,2.4
Italy,EMP6,WOMEN,55PLUS,1995,Percentage,2.0
Italy,EMP6,WOMEN,55PLUS,2000,Percentage,2.5
Italy,EMP6,WOMEN,55PLUS,2005,Percentage,4.8
Italy,EMP6,WOMEN,55PLUS,2010,Percentage,8.2
Italy,EMP6,WOMEN,55PLUS,2011,Percentage,9.1
Italy,EMP6,WOMEN,55PLUS,2012,Percentage,10.3
Japan,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,5.0
Japan,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,6.6
Japan,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,5.7
Japan,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,4.9
Japan,EMP6,MEN,55PLUS,2005,Percentage,4.1
Japan,EMP6,MEN,55PLUS,2010,Percentage,5.8
Japan,EMP6,MEN,55PLUS,2011,Percentage,5.1
Japan,EMP6,MEN,55PLUS,2012,Percentage,3.8
Japan,EMP6,WOMEN,55PLUS,2005,Percentage,6.3
Japan,EMP6,WOMEN,55PLUS,2010,Percentage,7.8
Japan,EMP6,WOMEN,55PLUS,2011,Percentage,6.7
Japan,EMP6,WOMEN,55PLUS,2012,Percentage,6.6
Luxembourg,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,0.7
Luxembourg,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,0.9
Luxembourg,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,0.0
Luxembourg,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,0.7
Luxembourg,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,0.9
Luxembourg,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,1.3
Luxembourg,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,1.6
Luxembourg,EMP6,MEN,55PLUS,2005,Percentage,0.0
Luxembourg,EMP6,MEN,55PLUS,2011,Percentage,0.0
Luxembourg,EMP6,MEN,55PLUS,2012,Percentage,0.0
Luxembourg,EMP6,WOMEN,55PLUS,1990,Percentage,2.9
Luxembourg,EMP6,WOMEN,55PLUS,1995,Percentage,3.1
Luxembourg,EMP6,WOMEN,55PLUS,2000,Percentage,0.0
Luxembourg,EMP6,WOMEN,55PLUS,2005,Percentage,1.7
Luxembourg,EMP6,WOMEN,55PLUS,2010,Percentage,2.3
Luxembourg,EMP6,WOMEN,55PLUS,2011,Percentage,3.3
Luxembourg,EMP6,WOMEN,55PLUS,2012,Percentage,3.9
Netherlands,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,5.9
Netherlands,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,0.7
Netherlands,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,0.8
Netherlands,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,0.9
Netherlands,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.8
Netherlands,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,2.7
Netherlands,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,3.1
Netherlands,EMP6,MEN,55PLUS,1990,Percentage,2.8
Netherlands,EMP6,MEN,55PLUS,1995,Percentage,0.5
Netherlands,EMP6,MEN,55PLUS,2000,Percentage,0.5
Netherlands,EMP6,MEN,55PLUS,2005,Percentage,0.8
Netherlands,EMP6,MEN,55PLUS,2010,Percentage,1.2
Netherlands,EMP6,MEN,55PLUS,2011,Percentage,1.5
Netherlands,EMP6,MEN,55PLUS,2012,Percentage,1.7
Netherlands,EMP6,WOMEN,55PLUS,1990,Percentage,14.7
Netherlands,EMP6,WOMEN,55PLUS,1995,Percentage,1.4
Netherlands,EMP6,WOMEN,55PLUS,2000,Percentage,1.5
Netherlands,EMP6,WOMEN,55PLUS,2005,Percentage,1.1
Netherlands,EMP6,WOMEN,55PLUS,2010,Percentage,2.7
Netherlands,EMP6,WOMEN,55PLUS,2011,Percentage,4.4
Netherlands,EMP6,WOMEN,55PLUS,2012,Percentage,5.0
New Zealand,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,3.0
New Zealand,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,4.0
New Zealand,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,4.7
New Zealand,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.4
New Zealand,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,3.4
New Zealand,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,3.2
New Zealand,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,3.4
New Zealand,EMP6,MEN,55PLUS,1990,Percentage,2.2
New Zealand,EMP6,MEN,55PLUS,1995,Percentage,3.2
New Zealand,EMP6,MEN,55PLUS,2000,Percentage,2.7
New Zealand,EMP6,MEN,55PLUS,2005,Percentage,1.3
New Zealand,EMP6,MEN,55PLUS,2010,Percentage,2.6
New Zealand,EMP6,MEN,55PLUS,2011,Percentage,2.3
New Zealand,EMP6,MEN,55PLUS,2012,Percentage,2.3
New Zealand,EMP6,WOMEN,55PLUS,1990,Percentage,4.5
New Zealand,EMP6,WOMEN,55PLUS,1995,Percentage,5.3
New Zealand,EMP6,WOMEN,55PLUS,2000,Percentage,7.7
New Zealand,EMP6,WOMEN,55PLUS,2005,Percentage,3.7
New Zealand,EMP6,WOMEN,55PLUS,2010,Percentage,4.3
New Zealand,EMP6,WOMEN,55PLUS,2011,Percentage,4.3
New Zealand,EMP6,WOMEN,55PLUS,2012,Percentage,4.7
Norway,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,1.7
Norway,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,2.0
Norway,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,0.7
Norway,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,1.4
Norway,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,0.5
Norway,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,0.8
Norway,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,0.8
Norway,EMP6,MEN,55PLUS,1990,Percentage,0.6
Norway,EMP6,MEN,55PLUS,1995,Percentage,0.5
Norway,EMP6,MEN,55PLUS,2000,Percentage,0.6
Norway,EMP6,MEN,55PLUS,2005,Percentage,0.8
Norway,EMP6,MEN,55PLUS,2010,Percentage,0.4
Norway,EMP6,MEN,55PLUS,2011,Percentage,0.5
Norway,EMP6,MEN,55PLUS,2012,Percentage,0.4
Norway,EMP6,WOMEN,55PLUS,1990,Percentage,3.2
Norway,EMP6,WOMEN,55PLUS,1995,Percentage,3.8
Norway,EMP6,WOMEN,55PLUS,2000,Percentage,0.9
Norway,EMP6,WOMEN,55PLUS,2005,Percentage,2.1
Norway,EMP6,WOMEN,55PLUS,2010,Percentage,0.7
Norway,EMP6,WOMEN,55PLUS,2011,Percentage,1.1
Norway,EMP6,WOMEN,55PLUS,2012,Percentage,1.3
Poland,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,1.4
Poland,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,1.1
Poland,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,1.1
Poland,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,1.3
Poland,EMP6,MEN,55PLUS,2005,Percentage,1.6
Poland,EMP6,MEN,55PLUS,2010,Percentage,1.1
Poland,EMP6,MEN,55PLUS,2011,Percentage,0.9
Poland,EMP6,MEN,55PLUS,2012,Percentage,1.0
Poland,EMP6,WOMEN,55PLUS,2005,Percentage,1.0
Poland,EMP6,WOMEN,55PLUS,2010,Percentage,1.2
Poland,EMP6,WOMEN,55PLUS,2011,Percentage,1.5
Poland,EMP6,WOMEN,55PLUS,2012,Percentage,1.9
Portugal,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,1.2
Portugal,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,1.6
Portugal,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,2.8
Portugal,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.6
Portugal,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,2.5
Portugal,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,4.1
Portugal,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,4.2
Portugal,EMP6,MEN,55PLUS,1990,Percentage,0.7
Portugal,EMP6,MEN,55PLUS,1995,Percentage,0.6
Portugal,EMP6,MEN,55PLUS,2000,Percentage,1.6
Portugal,EMP6,MEN,55PLUS,2005,Percentage,1.3
Portugal,EMP6,MEN,55PLUS,2010,Percentage,1.2
Portugal,EMP6,MEN,55PLUS,2011,Percentage,2.0
Portugal,EMP6,MEN,55PLUS,2012,Percentage,2.6
Portugal,EMP6,WOMEN,55PLUS,1990,Percentage,2.1
Portugal,EMP6,WOMEN,55PLUS,1995,Percentage,3.0
Portugal,EMP6,WOMEN,55PLUS,2000,Percentage,4.4
Portugal,EMP6,WOMEN,55PLUS,2005,Percentage,4.2
Portugal,EMP6,WOMEN,55PLUS,2010,Percentage,4.0
Portugal,EMP6,WOMEN,55PLUS,2011,Percentage,6.9
Portugal,EMP6,WOMEN,55PLUS,2012,Percentage,6.1
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,2.2
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,0.9
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.0
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,2.6
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,2.5
Slovak Republic,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,2.4
Slovak Republic,EMP6,MEN,55PLUS,1995,Percentage,1.4
Slovak Republic,EMP6,MEN,55PLUS,2000,Percentage,0.4
Slovak Republic,EMP6,MEN,55PLUS,2005,Percentage,0.3
Slovak Republic,EMP6,MEN,55PLUS,2010,Percentage,2.2
Slovak Republic,EMP6,MEN,55PLUS,2011,Percentage,1.8
Slovak Republic,EMP6,MEN,55PLUS,2012,Percentage,1.9
Slovak Republic,EMP6,WOMEN,55PLUS,1995,Percentage,5.2
Slovak Republic,EMP6,WOMEN,55PLUS,2000,Percentage,2.4
Slovak Republic,EMP6,WOMEN,55PLUS,2005,Percentage,6.0
Slovak Republic,EMP6,WOMEN,55PLUS,2010,Percentage,3.1
Slovak Republic,EMP6,WOMEN,55PLUS,2011,Percentage,3.4
Slovak Republic,EMP6,WOMEN,55PLUS,2012,Percentage,3.3
Spain,EMP6,ALL_PERSONS,55PLUS,1990,Percentage,0.7
Spain,EMP6,ALL_PERSONS,55PLUS,1995,Percentage,0.7
Spain,EMP6,ALL_PERSONS,55PLUS,2000,Percentage,0.6
Spain,EMP6,ALL_PERSONS,55PLUS,2005,Percentage,2.5
Spain,EMP6,ALL_PERSONS,55PLUS,2010,Percentage,4.5
Spain,EMP6,ALL_PERSONS,55PLUS,2011,Percentage,5.2
Spain,EMP6,ALL_PERSONS,55PLUS,2012,Percentage,5.2
Spain,EMP6,MEN,55PLUS,1990,Percentage,0.2
Spain,EMP6,MEN,55PLUS,1995,Percentage,0.1
Spain,EMP6,MEN,55PLUS,2000,Percentage,0.1
Spain,EMP6,MEN,55PLUS,2005,Percentage,0.7
Spain,EMP6,MEN,55PLUS,2010,Percentage,1.4
Spain,EMP6,MEN,55PLUS,2011,Percentage,2.2
Spain,EMP6,MEN,55PLUS,2012,Percentage,1.8
Spain,EMP6,WOMEN,55PLUS,1990,Percentage,2.1
Spain,EMP6,WOMEN,55PLUS,1995,Percentage,2.1
Spain,EMP6,WOMEN,55PLUS,2000,Percentage,1.7
Spain,EMP6,WOMEN,55PLUS,2005,Percentage,6.1
